Test File, upham_1.test.dat
Known Author Name, Unknown Author Name, Threshold, Match Value, Matches,Common Synonym Count, Scaled SC 2, Scaled SC 3, Scaled SC 4, Words Enc. Known, Words Enc. Unk.,Words over Threshold Known, Words Over Threshold Unk.,Dictionary Hits Known, Dictionary Hits Unk.
abbott_20x5 ,upham_1, 8, 5.854656969654309E-5, 1830,39107, 1395371.0, 8.5384709E7, 7.507072343E9, 130385, 58075, 3007, 3115, 83320, 37050, 
traill_20x5 ,upham_1, 8, 6.276633072478251E-5, 1813,39437, 1456511.0, 9.1987967E7, 8.207519939E9, 116710, 58075, 3432, 3115, 79308, 37050, 1
upham_20x5 ,upham_1, 9, 6.24687955895259E-5, 1775,39679, 1462107.0, 9.1489021E7, 8.121957351E9, 126291, 58075, 2779, 2810, 82705, 37050, 
child_20x5 ,upham_1, 9, 4.3233893199306385E-5, 1613,36700, 1354914.0, 8.3300746E7, 7.19516835E9, 171164, 58075, 2859, 2810, 109304, 37050, 
abbott_20x5 ,upham_1, 9, 5.734954517541852E-5, 1693,38011, 1386603.0, 8.5314565E7, 7.506511191E9, 130385, 58075, 2727, 2810, 83320, 37050, 
traill_20x5 ,upham_1, 9, 6.135115007218461E-5, 1659,38205, 1446655.0, 9.1909119E7, 8.206889155E9, 116710, 58075, 3065, 2810, 79308, 37050, 1
upham_20x5 ,upham_1, 10, 6.0769258439346394E-5, 1615,38239, 1449147.0, 9.1372381E7, 8.120907591E9, 126291, 58075, 2501, 2534, 82705, 37050, 
child_20x5 ,upham_1, 10, 4.207860180527057E-5, 1489,35584, 1344870.0, 8.321035E7, 7.194354786E9, 171164, 58075, 2578, 2534, 109304, 37050, 
abbott_20x5 ,upham_1, 10, 5.577587525113339E-5, 1549,36715, 1374939.0, 8.5209589E7, 7.505566407E9, 130385, 58075, 2463, 2534, 83320, 37050, 
traill_20x5 ,upham_1, 10, 5.9765711029981E-5, 1519,36945, 1435315.0, 9.1807059E7, 8.205970615E9, 116710, 58075, 2772, 2534, 79308, 37050, 1
upham_20x5 ,upham_1, 11, 5.97834859888211E-5, 1488,36969, 1436447.0, 9.1245381E7, 8.119637591E9, 126291, 58075, 2283, 2308, 82705, 37050, 
child_20x5 ,upham_1, 11, 4.154642734737702E-5, 1380,34494, 1333970.0, 8.310135E7, 7.193264786E9, 171164, 58075, 2340, 2308, 109304, 37050, 
abbott_20x5 ,upham_1, 11, 5.4891049093638395E-5, 1427,35495, 1362739.0, 8.5087589E7, 7.504346407E9, 130385, 58075, 2230, 2308, 83320, 37050, 
traill_20x5 ,upham_1, 11, 5.9089988825133384E-5, 1412,35875, 1424615.0, 9.1700059E7, 8.204900615E9, 116710, 58075, 2539, 2308, 79308, 37050, 1
upham_20x5 ,upham_1, 12, 5.9095081410300744E-5, 1365,35616, 1421564.0, 9.1081668E7, 8.117836748E9, 126291, 58075, 2055, 2072, 82705, 37050, 
child_20x5 ,upham_1, 12, 4.104956351986544E-5, 1261,33185, 1319571.0, 8.2942961E7, 7.191522507E9, 171164, 58075, 2086, 2072, 109304, 37050, 
abbott_20x5 ,upham_1, 12, 5.426057744052181E-5, 1308,34186, 1348340.0, 8.49292E7, 7.502604128E9, 130385, 58075, 2005, 2072, 83320, 37050, 
traill_20x5 ,upham_1, 12, 5.8492756623119594E-5, 1305,34698, 1411668.0, 9.1557642E7, 8.203334028E9, 116710, 58075, 2272, 2072, 79308, 37050, 1
upham_20x5 ,upham_1, 13, 5.752929844739169E-5, 1249,34224, 1404860.0, 9.088122E7, 8.115431372E9, 126291, 58075, 1861, 1868, 82705, 37050, 
